name,category,terrace,description,price,street,zipcode,city,Photo 1,Photo 2
Le Comptoir Cocktail Bar,Cocktail Bar,TRUE,"The most renowned cocktail bar of Lausanne A vintage atmosphere, incredible cocktails",$,rue de la Barre 1,1005,Lausanne,https://th.bing.com/th/id/OIP.SKqH8XU3BJa6AoibI6VccgHaE8?w=306&h=204&c=7&o=5&dpr=1.5&pid=1.7,https://espritbar.com/wp-content/uploads/2018/03/le-comptoir-lausanne-photo-de-the-lausanne-guide.jpg
La mise en biere,Beer Bar,FALSE,Amazing selection of international beer,$,Rue de la Tour 14,1004,Lausanne,https://static1.ronorp.net/media/mehrronorp/3/image/620x/1638624_1.jpg?1564431022,https://www.lesuspendu.ch/wp-content/uploads/2019/05/LE-SUSPENDU-photo_Miseenbiere_resto-e1558433848193.jpg
Mad club,Nightclub,TRUE,One of the best club in Switzerland,$$$,Rue de Genève 23,1003,Lausanne,https://www.lfm.ch/wp-content/uploads/2017/07/banner_1.jpg,https://assets.letemps.ch/sites/default/files/media/2020/06/17/file7awry9lno462r6e7htl.jpg
Barberousse ,Bar,FALSE,Bar with an impressive rum selection set in a space designed to look like a ship's interior,$$,Rue de Genève 17,1003,Lausanne,http://apps.tourisme-alsace.info/photos/strasbourg/photos/223012941_4.jpg,https://www.lausannecites.ch/sites/default/files/styles/820x450/public/import/CON_704819_1786_A.jpg?itok=cycmSKwt
Xoxo club,Nightclub,FALSE,Late night club for visiting DJs over 2 floors including Latin nights every Friday & Saturday,$$,Rue des Côtes-de-Montbenon 20,1003,Lausanne,https://i.ytimg.com/vi/GxXjKhQA-cQ/maxresdefault.jpg,https://www.lausannecites.ch/sites/default/files/styles/820x450/public/import/CON_555266_1283_A.jpg?itok=1PaFfmZI
Captain Cook,Pub,FALSE,Best place to watch sports on big screens,$,Rue Enning 2,1003,Lausanne,https://www.itaste.com/uploads/restaurants/2011-09/galleries/photos/RE_7958_4e6f54e1a3fa5_250x200.jpg,https://media-cdn.tripadvisor.com/media/photo-s/06/c4/0a/49/captain-cook-pub.jpg
D'Club,Nightclub,FALSE,"DJs play electronic dance music & bands offer hip hop, rock & more, in a loud, buzzing nightclub",$$,Place Centrale 1,1001,Lausanne,https://dra4.ch/media/filer_public_thumbnails/filer_public/4d/11/4d111873-f18b-4c2e-b793-2ab17d053101/dclub_sas_julia_wimmerlin_5.jpg__1000x1000_q85_subsampling-2_upscale.jpg,https://lh3.googleusercontent.com/proxy/FU2KItBh-ItQLtXi0axIkAjQQghIlVYsEALmqFgA9F1siQGuOSxto7jhSKmGNmXHY4fhkyw1lra46shOXMzQgXf64RqfH4nqjMdQEn54pME63eCmyu2PzlpHILdC7IioGxV3ypeldMtbuVGe
Buzz ,Nightclub,FALSE,Low ceilinged bar & night club with a varied music selection & range of cocktails,$$,"Rue Enning 1,",1003,Lausanne,https://i.ytimg.com/vi/zOTbLgFvL3w/maxresdefault.jpg,https://www.koifaire.com/upload/31/fiches/24912/album-1/1684.jpg
Punk,Rooftop,FALSE,"100 different cocktails to choose from, amazing decor",$$,"Place de l'Europe 9,",1003,Lausanne,"https://res.cloudinary.com/lt-assets/image/upload/c_fill,g_auto,h_900,w_1600/fpjiiyudeghupybdqnhm",https://10619-2.s.cdn12.com/rests/original/347_508310088.jpg
Ta cave lausanne,Champagne Bar,FALSE,This relaxed & informal venue was started making use of donations & now serves classic food & drink.,$$,Rue du Simplon 35,1005,Lausanne,https://tacave.ch/wp-content/uploads/2020/05/le-bar-e1589855473370-470x380.jpg,https://www.bilan.ch/assets/content/images/_storyImage/ta-cave-190-600x400.jpg
